code,per,pbr,roe_pct,equity_ratio_pct,dividend_yield_pct,op_income_yoy_pct,credit_ratio,vol5,vol25,volratio_5_25
5333,13.0,0.99,7.52,,2.68,34.7,8.13,1258820,1280268,0.9832472576054389
6574,28.8,59.48,206.84,,0.0,180.9,201.23,8350200,9935540,0.8404374598662981
9247,6.2,1,15.99,,3.17,204.1,107.34,238200,360252,0.6612038239898738
1605,8.5,0.69,8.07,,3.78,-14.8,2.45,4786900,5904024,0.8107859995149072
5020,13.1,0.81,6.15,,3.32,-59.7,1.99,8163200,10415836,0.7837296977410166
5401,,0.69,,,3.64,-4.7,14.94,5974560,5354892,1.115719980907178
5464,10.7,0.66,6.14,,3.75,-23.3,23.91,24760,22964,1.0782093711896883
5713,19.2,0.66,3.41,,3.02,-46.1,10.27,1975200,2320876,0.8510579625968815
5845,13.4,3.53,26.47,,3.74,34.6,52.15,57320,125380,0.4571702025841442
3760,,,4.89,,1.06,90.8,,13440,27940,0.48103078024337864
7164,14.9,1.98,13.07,,3.29,-6,0.8,287200,262980,1.0920982584226937
8306,13.0,1.31,11.46,,3.06,,6.7,38318560,41840812,0.9158177905342755
8316,12.1,1.08,8.98,,3.32,,11.41,10738660,11832380,0.9075655109115833
8473,,1.64,12.85,,2.6,40.3,7.34,3035900,4499840,0.6746684326553833
8570,15.8,0.75,4.71,,3.44,-14.8,4.27,748420,895756,0.8355177079472534
9432,12.8,1.43,11.06,,3.27,-7,13.71,146569840,162508228,0.9019225783447715
9433,12.7,1.93,14.51,,3.21,-1.6,3.65,7710860,7235192,1.0657436596015697
9064,32.2,1.39,4.32,,1.88,-33.9,0.3,1226680,1395928,0.878755924374323
9143,17.0,1.81,10.92,,3.31,-10.5,3.54,1383760,1990512,0.6951779240717966
9303,14.0,0.93,6.6,,3.24,-4.4,1.07,86540,106832,0.8100569117867306
3810,,12.66,,,0.0,-5.8,,468720,606424,0.7729245544371595
8002,11.3,1.61,14.19,,2.85,-8.5,1.86,2956960,3464296,0.853552929657281
9101,9.8,0.85,8.62,,4.24,-42.6,1.02,3009340,2982004,1.0091669897156408
